"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x521980139","x862224911472787456",2017-05-10 08:36:52,"hhaaarrreee","Majority of the world's Muslims live in democracies. What can we learn from Indonesia's experience? My recent article in Jakarta Post... https://t.co/EpaDTJkpy8","Twitter Web Client",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x2455244358","MoazzamTMalik","en",,,,,,,,,,,,,,,,"x830717832572710912","Majority of the world's Muslims live in democracies. What can we learn from Indonesia's experience? My recent article in Jakarta Post... https://t.co/EpaDTJkpy8",2017-02-12 09:58:59,"Twitter for iPhone",489,426,"x2455244358","MoazzamTMalik","Moazzam Malik",19230,226,5434,"London","DG @DFID_UK, working for a more just, sustainable world. Ex UK Ambassador Jakarta. Interest: food/film/books/LiverpoolFC/Pakistani cricket/politics/faith/family",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hhaaarrreee/status/862224911472787456","'H'nya aja dua","Denpasar Selatan, Bali","tak kenal maka harus kenalan","http://facebook.com/hary.mahendra",FALSE,304,513,0,5864,99,2012-03-12 05:25:47,FALSE,,,,"https://pbs.twimg.com/profile_banners/521980139/1563238551","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1231409202716905472/ehWmPc_9_normal.jpg"
"x848481973689475072","x862224859245326336",2017-05-10 08:36:40,"MMAdeelAslam9","#Erdogan calls Muslims to visit Jerusalem 'more often' to support Palestinian struggle for independent state https://t.co/ypPQs7dRWK","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"Erdogan",,,,,,,,,,,,,"x64643056","RT_com","en",,,,,,,,,,,,,,,,"x862204068877488128","#Erdogan calls Muslims to visit Jerusalem 'more often' to support Palestinian struggle for independent state https://t.co/ypPQs7dRWK",2017-05-10 07:14:03,"Twitter Web Client",80,78,"x64643056","RT_com","RT",3073701,640,340106,,"RT, the global news network, broadcasts from Moscow, London, Paris and Washington studios to over 100 countries.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MMAdeelAslam9/status/862224859245326336","The Chosen One","Land Of The Pure","#ProudPakistani #ProudSupporter of #PakArmy #PakistanZindabad",,FALSE,22,87,0,1417,5842,2017-04-02 10:27:21,FALSE,,,,,"","http://pbs.twimg.com/profile_images/875029352148226048/tkKpXRfs_normal.jpg"
"x820682117805961216","x862224832641081345",2017-05-10 08:36:34,"BW400CN","@KTHopkins @terencehooson Keep MUM. Mustn't Upset Muslims.","Twitter Web Client",32,"x862187354018205697","x21439144","KTHopkins",FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,"x21439144 x390263070","KTHopkins terencehooson","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BW400CN/status/862224832641081345","Anthony Polson <U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F><U+0001F1F8><U+0001F1EA>","England","English/Swedish. Well travelled, retired Chartered Civil Engineer, former consultant, contractor, civil servant, entrepreneur, author, photographer.",,FALSE,3043,3825,12,58447,62946,2017-01-15 17:20:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/820682117805961216/1585218197","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1243121259484975106/wOySy-J3_normal.jpg"
"x1497921954","x862224827675021313",2017-05-10 08:36:32,"iyer_rn","Imam Barkati does it again. Issues Fatwa against Muslims supporting RSS &amp; BJP https://t.co/kkcuLupH0B via @postcard_news","Twitter Web Client",,,,,FALSE,FALSE,0,0,0,0,,,"postcard.news/imam-barkati-d…","https://t.co/kkcuLupH0B","http://postcard.news/imam-barkati-does-it-again-issues-fatwa-against-muslims-supporting-rss-bjp/",,,,,,,,,"x3179331468","postcard_news","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/iyer_rn/status/862224827675021313","Ramaswamy Iyer <U+0001F1EE><U+0001F1F3>","<U+0915><U+0947><U+0930><U+0932> <U+092D><U+093E><U+0930><U+0924>","Pranams at the Lotus feet of Grandfather- My Friend, Buddy and Guru.",,FALSE,2952,1633,30,36203,40298,2013-06-10 10:32:29,FALSE,,,,"https://pbs.twimg.com/profile_banners/1497921954/1535612679","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1242680823792332801/sFkN0WMt_normal.jpg"
"x73185544","x862224803691995136",2017-05-10 08:36:27,"ISAbella_P_PARF","With FBI access to mass surveillance, think what comes next: Trump's pick could use it to go after Muslims, immigrants, political opponents… https://t.co/skkpLqRLZb","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x17672825","astroehlein","en",,,,,,,,,,,,,,,,"x862181560455507968","With FBI access to mass surveillance, think what comes next: Trump's pick could use it to go after Muslims, immigrants, political opponents… https://t.co/skkpLqRLZb",2017-05-10 05:44:37,"TweetDeck",384,424,"x17672825","astroehlein","Andrew Stroehlein",95510,8000,67560,"Brussels, Belgium","European Media Director, Human Rights Watch, @HRW. Covering #humanrights worldwide. (Read my blocking rules: http://bit.ly/BlockingBetter)",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ISAbella_P_PARF/status/862224803691995136","Isabella P.P","Switzerland ","#Journalist #Environmentalist #HumanRights #Disability #IndigenousRights #StopAmazonDams #BeloMonte #Indígenas #EnvironmentalJustice #NoMoreDams #Art #Vegan","http://www.facebook.com/pages/Isabellas-Vegan-page/83552172515",FALSE,7048,4700,0,95384,99473,2009-09-10 18:32:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/73185544/1455745263","http://abs.twimg.com/images/themes/theme12/bg.gif","http://pbs.twimg.com/profile_images/734141897694957569/NmkAl0-2_normal.jpg"
"x193582103","x862224795047473153",2017-05-10 08:36:25,"IslamicPhotos","Iftar, refers to the evening meal when Muslims break their fast during the Islamic month of Ramadan. Iftar is one... https://t.co/vpWIPXjzoA","Facebook",,,,,FALSE,FALSE,0,0,0,0,,,"fb.me/F3qBfqlI","https://t.co/vpWIPXjzoA","http://fb.me/F3qBfqlI",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IslamicPhotos/status/862224795047473153","Islamic Photos","Worlds","Photographs that truly represent Islam",,FALSE,4478,3769,127,183356,1,2010-09-22 05:11:21,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1128702796/profile_normal.jpg"
"x906429212","x862224786197553152",2017-05-10 08:36:23,"ceyhuncanozcan","Expected global population increase from 2015 to 2060
70% Muslims
34% Christians
27% Hindus
15% Jews

-7% Buddhists
https://t.co/Tx5fNCR6Hh https://t.co/6S0ahTtwmP","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x71643224","conradhackett","en",,,,,,,,,,,,,,,,"x862014460231389185","Expected global population increase from 2015 to 2060
70% Muslims
34% Christians
27% Hindus
15% Jews

-7% Buddhists
https://t.co/Tx5fNCR6Hh https://t.co/6S0ahTtwmP",2017-05-09 18:40:37,"Twitter Web Client",96,160,"x71643224","conradhackett","Conrad Hackett",153799,919,15714,"Washington, DC","Senior Demographer & Associate Director of Research at @PewResearch",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ceyhuncanozcan/status/862224786197553152","Ceyhun Can Özcan","Konya, Türkiye","Assoc. Prof. NEU, Faculty of Tourism, Economist",,FALSE,158,248,0,144,989,2012-10-26 17:29:22,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/2984712792/eeb22d5e09a890c363a8793e9a1bf0bb_normal.jpeg"
"x4269346156","x862224719348629507",2017-05-10 08:36:07,"vic_florida","Breaking: Debate on House bill that could ban Jews, Muslims and LGBT folks from adopting kids is postponed until tomorrow at 9:30 am #txlege","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x52754791","lmcgaughy","en",,,,,,,,,,,,,,,,"x861727194732777474","Breaking: Debate on House bill that could ban Jews, Muslims and LGBT folks from adopting kids is postponed until tomorrow at 9:30 am #txlege",2017-05-08 23:39:07,"TweetDeck",640,1043,"x52754791","lmcgaughy","Lauren McGaughy",14741,3752,54256,"Austin, TX","Investigative reporter @dallasnews based in the Texas capital. Ex-@houstonchron @nolanews @asahi. Proud Hoya & Who Dat! She/her. lmcgaughy@dallasnews.com",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/vic_florida/status/862224719348629507","Vicki Hartsough","Pompano Beach, FL","FL ESE Math teacher. Follow Andrew Benintendi (Red Sox), Luke Spencer (Louisville FC), and many true crime podcasts",,FALSE,207,701,9,16760,35288,2015-11-25 01:16:02,FALSE,,,,"https://pbs.twimg.com/profile_banners/4269346156/1581862827","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/815963494864535552/TJuQUIZz_normal.jpg"
"x369885165","x862224716513161216",2017-05-10 08:36:06,"RandiAthenas","The Problem With Muslims by @AntifaBoston : https://t.co/UAT9Asobgn #video","dlvr.it",,,,,FALSE,FALSE,0,0,0,0,"video",,"youtube.com/watch?v=5hBAu3…","https://t.co/UAT9Asobgn","https://www.youtube.com/watch?v=5hBAu3QcRgs",,,,,,,,,"x834561812607627264","AntifaBoston","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RandiAthenas/status/862224716513161216","Randi Athenas","CyberTown, CA","Digital Assistant to @EricBrooksCom - I never sleep and I have a sick sense of humor. ;) I follow everyone back. #TeamFollowBack  #TRU  #TeamAutoFollow","http://ericbrooks.com",FALSE,26367,27368,192,46654,2487,2011-09-08 03:15:59,FALSE,,,,"https://pbs.twimg.com/profile_banners/369885165/1381024607","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1533892239/me_guitar_cropped_normal.jpg"
"x233835830","x862224705566015488",2017-05-10 08:36:03,"Lucky5713","@Askrigglad There is something Seriously Wrong with our Police Hierarchy  ..are the top Brass Secret Muslims ?","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x413856809 x213223080","KevinMcVann Askrigglad","en",,,,,,,,,,,,,,,,"x862220750903750656","@Askrigglad There is something Seriously Wrong with our Police Hierarchy  ..are the top Brass Secret Muslims ?",2017-05-10 08:20:20,"Twitter Web Client",8,6,"x413856809","KevinMcVann","Amun Ra",1949,1519,67436,"England","Musician ..SongWriter",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Lucky5713/status/862224705566015488","<U+2600><U+FE0F>","United States","Likes old <U+0001F3A5> movies, old homes, architecture, loves animals and people. Supports US Constitution.",,FALSE,7300,7619,228,211302,126657,2011-01-04 06:37:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/233835830/1531656439","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1155437907001241600/JV69OAjI_normal.jpg"
